"","cell","capture","obstime","cell.type"
"113","16C 2.2","16C",4,NA
"114","16C 2.3","16C",4,NA
"115","16C 2.4","16C",4,NA
"116","16C 2.5","16C",4,NA
"117","16C 2.6","16C",4,NA
"118","16C 2.7","16C",4,NA
"119","16C 2.8","16C",4,NA
"120","16C 2.9","16C",4,NA
"121","16C 2.10","16C",4,NA
"122","16C 2.11","16C",4,NA
"123","16C 2.12","16C",4,NA
"124","16C 2.13","16C",4,NA
"125","16C 2.14","16C",4,NA
"126","16C 2.15","16C",4,NA
"127","16C 2.16","16C",4,NA
"128","16C 3.1","16C",4,NA
"129","16C 3.2","16C",4,NA
"130","16C 3.3","16C",4,NA
"131","16C 3.4","16C",4,NA
"132","16C 3.5","16C",4,NA
"133","16C 3.6","16C",4,NA
"134","16C 3.7","16C",4,NA
"135","16C 3.8","16C",4,NA
"136","16C 3.9","16C",4,NA
"137","16C 3.10","16C",4,NA
"138","16C 3.11","16C",4,NA
"139","16C 3.12","16C",4,NA
"140","16C 3.13","16C",4,NA
"141","16C 3.14","16C",4,NA
"142","16C 3.15","16C",4,NA
"143","16C 4.1","16C",4,NA
"144","16C 4.2","16C",4,NA
"145","16C 4.3","16C",4,NA
"146","16C 4.4","16C",4,NA
"147","16C 4.5","16C",4,NA
"148","16C 4.6","16C",4,NA
"149","16C 4.7","16C",4,NA
"150","16C 4.8","16C",4,NA
"151","16C 4.9","16C",4,NA
"152","16C 4.10","16C",4,NA
"153","16C 4.11","16C",4,NA
"154","16C 4.12","16C",4,NA
"155","16C 4.13","16C",4,NA
"156","16C 4.14","16C",4,NA
"157","16C 4.15","16C",4,NA
"158","16C 4.16","16C",4,NA
"159","16C 5.1","16C",4,NA
"160","16C 5.2","16C",4,NA
"161","16C 5.3","16C",4,NA
"162","16C 5.4","16C",4,NA
"163","16C 5.5","16C",4,NA
"164","16C 5.6","16C",4,NA
"165","16C 5.7","16C",4,NA
"166","16C 5.8","16C",4,NA
"167","16C 5.9","16C",4,NA
"168","16C 5.10","16C",4,NA
"169","16C 5.11","16C",4,NA
"170","16C 5.12","16C",4,NA
"171","32C 1.1","32C",5,"TE"
"172","32C 1.2","32C",5,"ICM"
"173","32C 1.3","32C",5,"TE"
"174","32C 1.4","32C",5,"TE"
"175","32C 1.5","32C",5,"ICM"
"176","32C 1.6","32C",5,"ICM"
"177","32C 1.7","32C",5,"TE"
"178","32C 1.8","32C",5,"ICM"
"179","32C 1.9","32C",5,"ICM"
"180","32C 1.10","32C",5,"ICM"
"181","32C 1.11","32C",5,"TE"
"182","32C 1.12","32C",5,"TE"
"183","32C 1.13","32C",5,"ICM"
"184","32C 1.14","32C",5,"TE"
"185","32C 1.15","32C",5,"ICM"
"186","32C 1.16","32C",5,"ICM"
"187","32C 1.17","32C",5,"ICM"
"188","32C 1.18","32C",5,"ICM"
"189","32C 1.19","32C",5,"ICM"
"190","32C 1.20","32C",5,"ICM"
"191","32C 1.21","32C",5,"ICM"
"192","32C 2.1","32C",5,"TE"
"193","32C 2.2","32C",5,"TE"
"194","32C 2.3","32C",5,"TE"
"195","32C 2.4","32C",5,"ICM"
"196","32C 2.5","32C",5,"ICM"
"197","32C 2.6","32C",5,"TE"
"198","32C 2.7","32C",5,"TE"
"199","32C 2.8","32C",5,"ICM"
"200","32C 2.9","32C",5,"TE"
"201","32C 2.10","32C",5,"TE"
"202","32C 2.11","32C",5,"ICM"
"203","32C 2.12","32C",5,"TE"
"204","32C 2.13","32C",5,"ICM"
"205","32C 2.14","32C",5,"ICM"
"206","32C 2.15","32C",5,"ICM"
"207","32C 2.16","32C",5,"ICM"
"208","32C 3.1","32C",5,"TE"
"209","32C 3.2","32C",5,"TE"
"210","32C 3.3","32C",5,"TE"
"211","32C 3.4","32C",5,"TE"
"212","32C 3.5","32C",5,"TE"
"213","32C 3.6","32C",5,"ICM"
"214","32C 3.7","32C",5,"ICM"
"215","32C 3.8","32C",5,"ICM"
"216","32C 4.1","32C",5,"TE"
"217","32C 4.2","32C",5,"TE"
"218","32C 4.3","32C",5,"ICM"
"219","32C 4.4","32C",5,NA
"220","32C 4.5","32C",5,"ICM"
"221","32C 4.6","32C",5,"ICM"
"222","32C 4.7","32C",5,"TE"
"223","32C 4.8","32C",5,"TE"
"224","32C 4.10","32C",5,"TE"
"225","32C 4.11","32C",5,"ICM"
"226","32C 4.12","32C",5,"TE"
"227","32C 4.13","32C",5,"TE"
"228","32C 4.14","32C",5,"ICM"
"229","32C 4.15","32C",5,"ICM"
"230","32C 4.16","32C",5,"ICM"
"231","32C 4.17","32C",5,"TE"
"232","32C 4.18","32C",5,"TE"
"233","32C 4.19","32C",5,"TE"
"234","32C 4.20","32C",5,"ICM"
"235","32C 4.21","32C",5,"ICM"
"236","32C 4.22","32C",5,"ICM"
"237","32C 4.23","32C",5,"TE"
"238","32C 4.24","32C",5,"ICM"
"239","32C 5.1","32C",5,"TE"
"240","32C 5.2","32C",5,"TE"
"241","32C 5.3","32C",5,"ICM"
"242","32C 5.4","32C",5,"TE"
"243","32C 5.5","32C",5,"ICM"
"244","32C 5.6","32C",5,"TE"
"245","32C 5.7","32C",5,"TE"
"246","32C 5.8","32C",5,"ICM"
"247","32C 5.9","32C",5,"TE"
"248","32C 5.10","32C",5,"ICM"
"249","32C 5.11","32C",5,"TE"
"250","32C 5.12","32C",5,"ICM"
"251","32C 5.13","32C",5,"TE"
"252","32C 5.14","32C",5,"TE"
"253","32C 5.15","32C",5,"TE"
"254","32C 5.16","32C",5,"TE"
"255","32C 5.17","32C",5,"TE"
"256","32C 5.18","32C",5,"TE"
"257","32C 5.19","32C",5,"ICM"
"258","32C 5.20","32C",5,"TE"
"259","32C 5.21","32C",5,"TE"
"260","32C 5.22","32C",5,"TE"
"261","32C 5.23","32C",5,"TE"
"262","32C 6.1","32C",5,"ICM"
"263","32C 6.2","32C",5,"TE"
"264","32C 6.3","32C",5,"TE"
"265","32C 6.4","32C",5,"ICM"
"266","32C 6.5","32C",5,"ICM"
"267","32C 6.6","32C",5,"TE"
"268","32C 6.7","32C",5,"TE"
"269","32C 6.8","32C",5,"TE"
"270","32C 7.1","32C",5,"TE"
"271","32C 7.2","32C",5,"ICM"
"272","32C 7.3","32C",5,"TE"
"273","32C 7.4","32C",5,"TE"
"274","32C 7.5","32C",5,"ICM"
"275","32C 7.6","32C",5,"ICM"
"276","32C 7.7","32C",5,"ICM"
"277","32C 7.8","32C",5,"TE"
"278","32C 8.1","32C",5,"TE"
"279","32C 8.2","32C",5,"TE"
"280","32C 8.3","32C",5,"TE"
"281","32C 8.4","32C",5,"TE"
"282","32C 8.5","32C",5,"ICM"
"283","32C 8.6","32C",5,"TE"
"284","64C 1.1","64C",6,"PE"
"285","64C 1.2","64C",6,"TE"
"286","64C 1.3","64C",6,"EPI"
"287","64C 1.4","64C",6,"PE"
"288","64C 1.5","64C",6,"PE"
"289","64C 1.6","64C",6,"EPI"
"290","64C 1.7","64C",6,"PE"
"291","64C 1.8","64C",6,"TE"
"292","64C 1.9","64C",6,"PE"
"293","64C 1.10","64C",6,"TE"
"294","64C 1.11","64C",6,"PE"
"295","64C 1.12","64C",6,"TE"
"296","64C 1.13","64C",6,"PE"
"297","64C 1.14","64C",6,"TE"
"298","64C 1.15","64C",6,"TE"
"299","64C 1.16","64C",6,"TE"
"300","64C 1.17","64C",6,"TE"
"301","64C 1.18","64C",6,"TE"
"302","64C 1.19","64C",6,"TE"
"303","64C 1.20","64C",6,"TE"
"304","64C 1.21","64C",6,"PE"
"305","64C 1.22","64C",6,"EPI"
"306","64C 1.23","64C",6,"EPI"
"307","64C 1.24","64C",6,"TE"
"308","64C 1.25","64C",6,"TE"
"309","64C 1.26","64C",6,"PE"
"310","64C 1.27","64C",6,"TE"
"311","64C 1.28","64C",6,"TE"
"312","64C 1.29","64C",6,"TE"
"313","64C 1.30","64C",6,"TE"
"314","64C 1.31","64C",6,"TE"
"315","64C 1.32","64C",6,"TE"
"316","64C 1.33","64C",6,"TE"
"317","64C 1.34","64C",6,"TE"
"318","64C 1.35","64C",6,"TE"
"319","64C 1.36","64C",6,"TE"
"320","64C 1.37","64C",6,"TE"
"321","64C 1.38","64C",6,"TE"
"322","64C 1.39","64C",6,"TE"
"323","64C 1.40","64C",6,"EPI"
"324","64C 1.41","64C",6,"PE"
"325","64C 1.42","64C",6,"PE"
"326","64C 1.43","64C",6,"PE"
"327","64C 1.44","64C",6,"TE"
"328","64C 1.45","64C",6,"TE"
"329","64C 1.46","64C",6,"TE"
"330","64C 1.47","64C",6,"TE"
"331","64C 1.48","64C",6,"TE"
"332","64C 2.1","64C",6,"TE"
"333","64C 2.2","64C",6,"TE"
"334","64C 2.3","64C",6,"TE"
"335","64C 2.4","64C",6,"TE"
"336","64C 2.5","64C",6,"PE"
"337","64C 2.6","64C",6,"TE"
"338","64C 2.7","64C",6,"PE"
"339","64C 2.8","64C",6,"PE"
"340","64C 2.9","64C",6,"TE"
"341","64C 2.10","64C",6,"TE"
"342","64C 2.11","64C",6,"TE"
"343","64C 2.12","64C",6,"TE"
"344","64C 2.13","64C",6,"TE"
"345","64C 2.14","64C",6,"TE"
"346","64C 2.15","64C",6,"TE"
"347","64C 2.16","64C",6,"PE"
"348","64C 2.17","64C",6,"PE"
"349","64C 2.18","64C",6,"TE"
"350","64C 2.19","64C",6,"TE"
"351","64C 2.20","64C",6,"TE"
"352","64C 2.21","64C",6,"TE"
"353","64C 2.22","64C",6,"TE"
"354","64C 2.23","64C",6,"TE"
"355","64C 2.24","64C",6,"TE"
"356","64C 2.25","64C",6,"TE"
"357","64C 3.1","64C",6,"TE"
"358","64C 3.2","64C",6,"TE"
"359","64C 3.3","64C",6,"TE"
"360","64C 3.4","64C",6,"TE"
"361","64C 3.5","64C",6,"PE"
"362","64C 3.6","64C",6,"TE"
"363","64C 3.7","64C",6,"TE"
"364","64C 3.8","64C",6,"TE"
"365","64C 4.2","64C",6,"EPI"
"366","64C 4.3","64C",6,"PE"
"367","64C 4.4","64C",6,"PE"
"368","64C 4.5","64C",6,"PE"
"369","64C 4.6","64C",6,"PE"
"370","64C 4.7","64C",6,"TE"
"371","64C 4.8","64C",6,"PE"
"372","64C 4.9","64C",6,"TE"
"373","64C 4.10","64C",6,"EPI"
"374","64C 4.11","64C",6,"EPI"
"375","64C 4.12","64C",6,"TE"
"376","64C 4.13","64C",6,"TE"
"377","64C 4.14","64C",6,"TE"
"378","64C 4.15","64C",6,"TE"
"379","64C 4.16","64C",6,"TE"
"380","64C 4.17","64C",6,"TE"
"381","64C 4.18","64C",6,"TE"
"382","64C 4.19","64C",6,"TE"
"383","64C 4.20","64C",6,"TE"
"384","64C 4.21","64C",6,"TE"
"385","64C 4.22","64C",6,"TE"
"386","64C 4.23","64C",6,"TE"
"387","64C 4.24","64C",6,"TE"
"388","64C 4.25","64C",6,"TE"
"389","64C 4.26","64C",6,"PE"
"390","64C 4.27","64C",6,"TE"
"391","64C 4.28","64C",6,"PE"
"392","64C 4.29","64C",6,"TE"
"393","64C 4.30","64C",6,"PE"
"394","64C 4.31","64C",6,"TE"
"395","64C 4.32","64C",6,"EPI"
"396","64C 4.33","64C",6,"TE"
"397","64C 4.34","64C",6,"TE"
"398","64C 4.35","64C",6,"PE"
"399","64C 4.36","64C",6,"TE"
"400","64C 4.37","64C",6,"TE"
"401","64C 4.38","64C",6,"TE"
"402","64C 4.39","64C",6,"TE"
"403","64C 5.1","64C",6,"TE"
"404","64C 5.2","64C",6,"PE"
"405","64C 5.3","64C",6,"PE"
"406","64C 5.4","64C",6,"TE"
"407","64C 5.5","64C",6,"PE"
"408","64C 5.6","64C",6,"PE"
"409","64C 5.7","64C",6,"PE"
"410","64C 5.8","64C",6,"EPI"
"411","64C 5.9","64C",6,"PE"
"412","64C 5.10","64C",6,"PE"
"413","64C 5.11","64C",6,"TE"
"414","64C 5.12","64C",6,"TE"
"415","64C 5.13","64C",6,"TE"
"416","64C 5.14","64C",6,"TE"
"417","64C 5.15","64C",6,"TE"
"418","64C 5.16","64C",6,"TE"
"419","64C 6.1","64C",6,"PE"
"420","64C 6.2","64C",6,"EPI"
"421","64C 6.3","64C",6,"EPI"
"422","64C 6.4","64C",6,"EPI"
"423","64C 6.5","64C",6,"EPI"
"424","64C 6.6","64C",6,"EPI"
"425","64C 6.7","64C",6,"PE"
"426","64C 6.8","64C",6,"EPI"
"427","64C 7.1","64C",6,"PE"
"428","64C 7.2","64C",6,"PE"
"429","64C 7.3","64C",6,"EPI"
"430","64C 7.4","64C",6,"PE"
"431","64C 7.5","64C",6,"PE"
"432","64C 7.6","64C",6,"PE"
"433","64C 7.7","64C",6,"PE"
"434","64C 7.8","64C",6,"EPI"
"435","64C 7.9","64C",6,"PE"
"436","64C 7.10","64C",6,"TE"
"437","64C 7.11","64C",6,"TE"
"438","64C 7.12","64C",6,"TE"
"439","64C 7.13","64C",6,"TE"
"440","64C 7.14","64C",6,"TE"
